card,ranking,rating,usage,usage_delta,win,win_delta,cwr
skeleton-dragons,0.4812227095327288,0.4812227095327288,0.037200139983499685,0.0900000000000003,49.910607866507746,0.021378145989679354, 0.49907153594482273
zappies,0.4796237114591959,0.4796237114591959,0.04832281081800086,-0.03000000000000025,49.80338183248132,-0.15204542905453167, 0.49791673840432493
wizard,0.4735524903159079,0.4735524903159079,0.09040653805286752,-0.3000000000000007,49.444755832691094,0.29999937557473544, 0.493895628730984
phoenix,0.47235759666885807,0.47235759666885807,0.05581762873652223,0.09999999999999964,49.442537376946866,0.5138180185856029, 0.4940957302965656
hunter,0.4687007072163569,0.4687007072163569,0.07272174478981097,0.0699999999999994,49.28577650030485,0.21650189335734638, 0.4922975765545745
minion-horde,0.4482909253278596,0.4482909253278596,0.03467283607520471,-0.09999999999999964,48.693825356229446,-0.25667770841725, 0.4864685844057532
electro-dragon,0.44826136959002316,0.44826136959002316,0.05470599506257294,0.0,48.5686166671491,0.5542034764384454, 0.4848577640322136
inferno-dragon,0.4466260553448088,0.4466260553448088,0.07505269175284995,0.02999999999999936,48.47033504937126,-0.22851894922209937, 0.48346183676262605
magic-archer,0.3712566306248956,0.3712566306248956,0.11175243823069723,0.14000000000000057,45.664002720625746,-0.24106701509781203, 0.4511765175081758
firecracker,0.6066028318573002,0.6066028318573002,0.19414001200311004,-0.14999999999999858,53.70309951060359,-0.1544891538420714, 0.5459523472135064
flying-machine,0.5231773727277405,0.5231773727277405,0.05301162464786391,0.05999999999999961,51.39946829166293,-0.11711379260474075, 0.5147624755535928
dart-goblin,0.5230799677700906,0.5230799677700906,0.17831427562497723,-0.19000000000000128,51.00705113404259,-0.4764483680235543, 0.5122560145256468
archers,0.4722651198300625,0.4722651198300625,0.05477250306015965,-0.04999999999999982,49.481048888374914,0.3749390835751498, 0.49449440264268674
mega-minion,0.47034488180093775,0.47034488180093775,0.048620513283389,0.1900000000000004,49.42027097446587,0.5987295903568395, 0.49388928828181167
ice-wizard,0.4609434745526608,0.4609434745526608,0.12053624448339913,0.2900000000000009,48.94441598024146,0.312586085593189, 0.4879972513929761
spear-goblins,0.4565960058715159,0.4565960058715159,0.05273925856250881,0.019999999999999574,48.88154931691938,0.23316595642938154, 0.48817674654494736
bats,0.44515790292638874,0.44515790292638874,0.08048734526993538,0.05000000000000071,48.38671598331628,-0.29974926180386063, 0.48245463882232115
minions,0.4097067543138243,0.4097067543138243,0.04557539710816892,-0.08000000000000007,47.06924707272159,0.38510901915254436, 0.46929265717718155
princess,0.38051878954579366,0.38051878954579366,0.1388576142947856,-0.20999999999999908,46.101563480026,0.06438506164447944, 0.45472242822332876
cannon-cart,0.6588790973931485,0.6588790973931485,0.06528393372636393,0.1200000000000001,56.61338443253208,0.011036788216273408, 0.5707538601271571
bandit,0.588087753734012,0.588087753734012,0.1286866412352752,0.06999999999999851,53.39994585681589,-0.21500199483313054, 0.5390210145746244
bowler,0.5691608581312898,0.5691608581312898,0.10088788176778257,0.0600000000000005,52.84487765064117,-0.03537658926173748, 0.5316411500794302
sparky,0.48619821299482563,0.48619821299482563,0.10424653564591142,-0.08999999999999986,49.87544051525094,-0.2334513384611938, 0.49860095982634944
bomber,0.4704159437534228,0.4704159437534228,0.06818969981140233,-0.040000000000000036,49.36835260786773,0.10654306401229974, 0.493208722741433
goblin-demolisher,0.45432592145747,0.45432592145747,0.052498562952195,-0.009999999999999787,48.81609507435225,0.2078951096124868, 0.4874888577613651
mother-witch,0.39564926296974573,0.39564926296974573,0.07163861454339884,-0.16999999999999993,46.54067197170645,0.39353454028149315, 0.46272530298340436
night-witch,0.38375298636814187,0.38375298636814187,0.05920003547093205,-0.07000000000000028,46.05055503544202,-0.35920710699713965, 0.4580193909755196
